"Location","Symbol","Year","Parameter","Month","Value"
"Mirpur Bridge","L1",2013,"BOD","December",9
"Mirpur Bridge","L1",2014,"BOD","January",14
"Mirpur Bridge","L1",2014,"BOD","February",10
"Mirpur Bridge","L1",2014,"BOD","March",48
"Mirpur Bridge","L1",2014,"BOD","April",20
"Mirpur Bridge","L1",2014,"BOD","May",8
"Mirpur Bridge","L1",2014,"BOD","June",4
"Mirpur Bridge","L1",2014,"BOD","July",6.6
"Mirpur Bridge","L1",2014,"BOD","August",8
"Mirpur Bridge","L1",2014,"BOD","September",4
"Mirpur Bridge","L1",2014,"BOD","October",8
"Mirpur Bridge","L1",2014,"BOD","November",20
"Mirpur Bridge","L1",2014,"BOD","December",7
"Mirpur Bridge","L1",2015,"BOD","January",10.4
"Mirpur Bridge","L1",2015,"BOD","February",12
"Mirpur Bridge","L1",2015,"BOD","March",13
"Mirpur Bridge","L1",2015,"BOD","April",12
"Mirpur Bridge","L1",2015,"BOD","May",6
"Mirpur Bridge","L1",2015,"BOD","June",4.4
"Mirpur Bridge","L1",2015,"BOD","July",1.5
"Mirpur Bridge","L1",2015,"BOD","August",4.8
"Mirpur Bridge","L1",2015,"BOD","September",5.2
"Mirpur Bridge","L1",2015,"BOD","October",6
"Mirpur Bridge","L1",2015,"BOD","November",9
"Mirpur Bridge","L1",2015,"BOD","December",12.4
"Mirpur Bridge","L1",2016,"BOD","January",10
"Mirpur Bridge","L1",2016,"BOD","February",9
"Mirpur Bridge","L1",2016,"BOD","March",12
"Mirpur Bridge","L1",2016,"BOD","April",11
"Mirpur Bridge","L1",2016,"BOD","May",5
"Mirpur Bridge","L1",2016,"BOD","June",5
"Mirpur Bridge","L1",2016,"BOD","July",1.9
"Mirpur Bridge","L1",2016,"BOD","August",4
"Mirpur Bridge","L1",2016,"BOD","September",5
"Mirpur Bridge","L1",2016,"BOD","October",5
"Mirpur Bridge","L1",2016,"BOD","November",8
"Mirpur Bridge","L1",2016,"BOD","December",11
"Mirpur Bridge","L1",2017,"BOD","January",11.2
"Mirpur Bridge","L1",2017,"BOD","February",18.6
"Mirpur Bridge","L1",2017,"BOD","March",28.2
"Mirpur Bridge","L1",2017,"BOD","April",7.5
"Mirpur Bridge","L1",2017,"BOD","May",8.8
"Mirpur Bridge","L1",2017,"BOD","June",8
"Mirpur Bridge","L1",2017,"BOD","July",7.2
"Mirpur Bridge","L1",2017,"BOD","August",1
"Mirpur Bridge","L1",2017,"BOD","September",0.8
"Mirpur Bridge","L1",2017,"BOD","October",1.8
"Mirpur Bridge","L1",2017,"BOD","November",3.6
"Mirpur Bridge","L1",2017,"BOD","December",5.4
"Mirpur Bridge","L1",2018,"BOD","January",10
"Mirpur Bridge","L1",2018,"BOD","February",15
"Mirpur Bridge","L1",2018,"BOD","March",20
"Mirpur Bridge","L1",2018,"BOD","April",8
"Mirpur Bridge","L1",2018,"BOD","May",5
"Mirpur Bridge","L1",2018,"BOD","June",7
"Mirpur Bridge","L1",2018,"BOD","July",6
"Mirpur Bridge","L1",2018,"BOD","August",2
"Mirpur Bridge","L1",2018,"BOD","September",0.9
"Mirpur Bridge","L1",2018,"BOD","October",1.5
"Mirpur Bridge","L1",2018,"BOD","November",3
"Mirpur Bridge","L1",2018,"BOD","December",5
"Mirpur Bridge","L1",2019,"BOD","January",12
"Mirpur Bridge","L1",2019,"BOD","February",8.4
"Mirpur Bridge","L1",2019,"BOD","March",26
"Mirpur Bridge","L1",2019,"BOD","April",20
"Mirpur Bridge","L1",2019,"BOD","May",12
"Mirpur Bridge","L1",2019,"BOD","June",6.5
"Mirpur Bridge","L1",2019,"BOD","July",4.5
"Mirpur Bridge","L1",2019,"BOD","August",6
"Mirpur Bridge","L1",2019,"BOD","September",0.6
"Mirpur Bridge","L1",2019,"BOD","October",3.2
"Mirpur Bridge","L1",2019,"BOD","November",16.4
"Mirpur Bridge","L1",2019,"BOD","December",14.2
"Mirpur Bridge","L1",2020,"BOD","January",12
"Mirpur Bridge","L1",2020,"BOD","February",24
"Mirpur Bridge","L1",2020,"BOD","March",36
"Mirpur Bridge","L1",2020,"BOD","April",16
"Mirpur Bridge","L1",2020,"BOD","May",16
"Mirpur Bridge","L1",2020,"BOD","June",4
"Mirpur Bridge","L1",2020,"BOD","July",4
"Mirpur Bridge","L1",2020,"BOD","August",5.2
"Mirpur Bridge","L1",2020,"BOD","September",4.8
"Mirpur Bridge","L1",2020,"BOD","October",9
"Mirpur Bridge","L1",2020,"BOD","November",8
"Mirpur Bridge","L1",2020,"BOD","December",12
"Mirpur Bridge","L1",2021,"BOD","January",6
"Mirpur Bridge","L1",2021,"BOD","February",22
"Mirpur Bridge","L1",2021,"BOD","March",10
"Mirpur Bridge","L1",2021,"BOD","April",24
"Mirpur Bridge","L1",2021,"BOD","May",28
"Mirpur Bridge","L1",2021,"BOD","June",5
"Mirpur Bridge","L1",2021,"BOD","July",6
"Mirpur Bridge","L1",2021,"BOD","August",5
"Mirpur Bridge","L1",2021,"BOD","September",5
"Mirpur Bridge","L1",2021,"BOD","October",7
"Mirpur Bridge","L1",2021,"BOD","November",8
"Mirpur Bridge","L1",2021,"BOD","December",9
"Mirpur Bridge","L1",2022,"BOD","January",18
"Mirpur Bridge","L1",2022,"BOD","February",26
"Mirpur Bridge","L1",2022,"BOD","March",26
"Mirpur Bridge","L1",2022,"BOD","April",36
"Mirpur Bridge","L1",2022,"BOD","May",8
"Mirpur Bridge","L1",2022,"BOD","June",6.2
"Mirpur Bridge","L1",2022,"BOD","July",6.4
"Mirpur Bridge","L1",2022,"BOD","August",10
"Mirpur Bridge","L1",2022,"BOD","September",8
"Mirpur Bridge","L1",2022,"BOD","October",6.2
"Mirpur Bridge","L1",2022,"BOD","November",8
"Mirpur Bridge","L1",2022,"BOD","December",10.8
"Mirpur Bridge","L1",2023,"BOD","January",12
"Mirpur Bridge","L1",2023,"BOD","February",16
"Mirpur Bridge","L1",2023,"BOD","March",26
"Mirpur Bridge","L1",2023,"BOD","April",30
"Mirpur Bridge","L1",2023,"BOD","May",5
"Mirpur Bridge","L1",2023,"BOD","June",5
"Mirpur Bridge","L1",2023,"BOD","July",4
"Mirpur Bridge","L1",2023,"BOD","August",3
"Mirpur Bridge","L1",2023,"BOD","September",6
"Mirpur Bridge","L1",2023,"BOD","October",6
"Mirpur Bridge","L1",2023,"BOD","November",4
"Mirpur Bridge","L1",2023,"BOD","December",9
"Mirpur Bridge","L1",2010,"COD","January",55
"Mirpur Bridge","L1",2010,"COD","February",56
"Mirpur Bridge","L1",2010,"COD","March",120
"Mirpur Bridge","L1",2010,"COD","April",62
"Mirpur Bridge","L1",2010,"COD","May",68
